Suburb;Address;Rooms;Type;Price;Method;SellerG;Date;Distance;Postcode;Bedroom2;Bathroom;Car;Landsize;Lattitude;Longtitude;Pool;Other space
Abbotsford;85 Turner St;2;h;1480000.0;S;Biggin;03/12/2016;2.5;3067.0;2.0;1.0;1.0;202.0;-377996;1449984;true;jacuzzi/terrace/cinema
Abbotsford;25 Bloomburg St;2;h;1035000.0;S;Biggin;04/02/2016;2.5;3067.0;2.0;1.0;0.0;156.0;-378079;1449934;true;jacuzzi/terrace/cinema
Abbotsford;5 Charles St;3;h;1465000.0;SP;Biggin;04/03/2017;2.5;3067.0;3.0;2.0;0.0;134.0;-378093;1449944;true;jacuzzi/terrace/cinema
Abbotsford;40 Federation La;3;h;850000.0;PI;Biggin;04/03/2017;2.5;3067.0;3.0;2.0;1.0;94.0;-377969;1449969;true;jacuzzi/terrace/cinema
Abbotsford;55a Park St;4;h;1600000.0;VB;Nelson;04/06/2016;2.5;3067.0;3.0;1.0;2.0;120.0;-378072;1449941;true;jacuzzi/terrace/cinema
Abbotsford;129 Charles St;2;h;941000.0;S;Jellis;07/05/2016;2.5;3067.0;2.0;1.0;0.0;181.0;-378041;1449953;true;jacuzzi/terrace/cinema
Abbotsford;124 Yarra St;3;h;1876000.0;S;Nelson;07/05/2016;2.5;3067.0;4.0;2.0;0.0;245.0;-378024;1449993;true;jacuzzi/terrace/cinema
Abbotsford;98 Charles St;2;h;1636000.0;S;Nelson;08/10/2016;2.5;3067.0;2.0;1.0;2.0;256.0;-37806;1449954;true;jacuzzi/terrace/cinema
Abbotsford;6/241 Nicholson St;1;u;300000.0;S;Biggin;08/10/2016;2.5;3067.0;1.0;1.0;1.0;0.0;-378008;1449973;true;jacuzzi/terrace/cinema
Abbotsford;10 Valiant St;2;h;1097000.0;S;Biggin;08/10/2016;2.5;3067.0;3.0;1.0;2.0;220.0;-37801;1449989;true;jacuzzi/terrace/cinema
Abbotsford;411/8 Grosvenor St;2;u;700000.0;VB;Jellis;12/11/2016;2.5;3067.0;2.0;2.0;1.0;0.0;-37811;1450067;true;jacuzzi/terrace/cinema
Abbotsford;40 Nicholson St;3;h;1350000.0;VB;Nelson;12/11/2016;2.5;3067.0;3.0;2.0;2.0;214.0;-378085;1449964;true;jacuzzi/terrace/cinema
Abbotsford;123/56 Nicholson St;2;u;750000.0;S;Biggin;12/11/2016;2.5;3067.0;2.0;2.0;1.0;0.0;-378078;1449965;true;jacuzzi/terrace/cinema
Abbotsford;45 William St;2;h;1172500.0;S;Biggin;13/08/2016;2.5;3067.0;2.0;1.0;1.0;195.0;-378084;1449973;true;jacuzzi/terrace/cinema
Abbotsford;7/20 Abbotsford St;1;u;441000.0;SP;Greg;14/05/2016;2.5;3067.0;1.0;1.0;1.0;0.0;-378016;1449988;true;jacuzzi/terrace/cinema
Abbotsford;16 William St;2;h;1310000.0;S;Jellis;15/10/2016;2.5;3067.0;2.0;1.0;2.0;238.0;-37809;1449976;true;jacuzzi/terrace/cinema
Abbotsford;42 Henry St;3;h;1200000.0;S;Jellis;16/07/2016;2.5;3067.0;3.0;2.0;1.0;113.0;-378056;144993;true;jacuzzi/terrace/cinema
Abbotsford;78 Yarra St;3;h;1176500.0;S;LITTLE;16/07/2016;2.5;3067.0;2.0;1.0;1.0;138.0;-378021;1449965;true;jacuzzi/terrace/cinema
Abbotsford;196 Nicholson St;3;h;955000.0;S;Collins;17/09/2016;2.5;3067.0;3.0;1.0;0.0;183.0;-378022;1449975;true;jacuzzi/terrace/cinema
Abbotsford;42 Valiant St;2;h;890000.0;S;Biggin;17/09/2016;2.5;3067.0;2.0;1.0;1.0;150.0;-378011;1450004;true;jacuzzi/terrace/cinema
Abbotsford;3/72 Charles St;4;h;1330000.0;PI;Kay;18/03/2017;2.5;3067.0;4.0;2.0;2.0;780.0;-378073;1449952;true;jacuzzi/terrace/cinema
Abbotsford;13/11 Nicholson St;3;t;900000.0;S;Beller;18/03/2017;2.5;3067.0;3.0;2.0;2.0;0.0;-378093;1449959;true;jacuzzi/terrace/cinema
Abbotsford;138/56 Nicholson St;3;u;1090000.0;S;Jellis;18/03/2017;2.5;3067.0;3.0;2.0;2.0;4290.0;-378078;1449965;true;jacuzzi/terrace/cinema
Abbotsford;6/219 Nicholson St;2;u;500000.0;S;Collins;18/06/2016;2.5;3067.0;2.0;1.0;1.0;0.0;-378015;1449972;true;jacuzzi/terrace/cinema
Abbotsford;52a William St;2;h;1100000.0;PI;Biggin;18/06/2016;2.5;3067.0;2.0;2.0;1.0;124.0;-378079;1449977;true;jacuzzi/terrace/cinema
Abbotsford;49 Park St;2;h;1315000.0;S;Marshall;19/11/2016;2.5;3067.0;2.0;1.0;0.0;147.0;-37808;144994;true;jacuzzi/terrace/cinema
Abbotsford;5/20 Abbotsford St;1;u;426000.0;SP;Greg;22/08/2016;2.5;3067.0;1.0;1.0;1.0;0.0;-378016;1449988;true;jacuzzi/terrace/cinema
Abbotsford;48 Abbotsford St;3;h;1447500.0;PI;Nelson;22/08/2016;2.5;3067.0;3.0;3.0;1.0;166.0;-378017;1450001;true;jacuzzi/terrace/cinema
Abbotsford;116/56 Nicholson St;1;u;457000.0;S;Jellis;22/08/2016;2.5;3067.0;1.0;1.0;1.0;0.0;-378078;1449965;true;jacuzzi/terrace/cinema
Abbotsford;159 Park St;2;h;1135000.0;S;Nelson;22/08/2016;2.5;3067.0;2.0;2.0;2.0;98.0;-378005;1449952;true;jacuzzi/terrace/cinema
Abbotsford;31 Turner St;4;h;1542000.0;S;Collins;24/09/2016;2.5;3067.0;4.0;3.0;1.0;0.0;-377994;1449965;true;jacuzzi/terrace/cinema
Abbotsford;166 Gipps St;3;h;1290000.0;S;Biggin;25/02/2017;2.5;3067.0;3.0;2.0;2.0;147.0;-37805;1449943;true;jacuzzi/terrace/cinema
Abbotsford;60 Stafford St;3;h;1290000.0;S;Biggin;25/02/2017;2.5;3067.0;3.0;1.0;1.0;168.0;-378007;1449958;true;jacuzzi/terrace/cinema
Abbotsford;11/205 Gipps St;1;u;470000.0;S;Nelson;26/07/2016;2.5;3067.0;1.0;1.0;1.0;0.0;-378055;1449961;true;jacuzzi/terrace/cinema
Abbotsford;47 Studley St;2;h;1180000.0;S;Jellis;27/11/2016;2.5;3067.0;2.0;1.0;0.0;162.0;-378016;1449956;true;jacuzzi/terrace/cinema
Abbotsford;45 Yarra St;3;h;1195000.0;SP;Jellis;27/11/2016;2.5;3067.0;3.0;2.0;1.0;120.0;-378022;1449954;true;jacuzzi/terrace/cinema
Abbotsford;200 Nicholson St;2;h;1012500.0;S;Nelson;28/05/2016;2.5;3067.0;2.0;1.0;0.0;182.0;-378021;1449976;true;jacuzzi/terrace/cinema
Abbotsford;27 Charles St;2;h;1030000.0;S;Biggin;30/07/2016;2.5;3067.0;2.0;1.0;1.0;172.0;-378086;1449946;true;jacuzzi/terrace/cinema
Airport West;154 Halsey Rd;3;t;840000.0;PI;Nelson;03/09/2016;13.5;3042.0;3.0;2.0;1.0;303.0;-37718;144878;true;jacuzzi/terrace/cinema
